u_puuid,v_puuid,games,wins,first_ts,last_ts,winrate
-7UyDpR2lskQ-7l4jjXefF7WCbJKqkc28MQ4MRUBBPgauVtKPy2t7FX4c3twpyy4YeCvsNCe0NeAog,tyzwUHoeAMHQL84Fm-z9qbINmbdz4I4AGGxD6Nc7zrgXTART23gx78i3qiq-u9dGt9wLZOLTvC5hyA,1,0,1770658791991,1770658791991,0.0
-7UyDpR2lskQ-7l4jjXefF7WCbJKqkc28MQ4MRUBBPgauVtKPy2t7FX4c3twpyy4YeCvsNCe0NeAog,uyGN9hpoTpeqo5Gewn16AMP6uVisn1EjJaQ0Tl7eE-AIpVLmqmokpHxKmzyIN83QKUclqtF9RAEapw,1,0,1770658791991,1770658791991,0.0
-8FiR47eqS3ikG0cFmRhEcqc7BIv6fcU7iQtFh_gLSjMuD80wmduybCqTPVeu0t7SHNy3EPi-tuxMQ,6katl5_mcixV4pokJCyvZEaNh4f3Eh5smP6catXTmvBDSSmHZ1jgvpQ1_0nOdSARMx8BBKFLIbrvwQ,1,1,1770509240492,1770509240492,1.0
-8FiR47eqS3ikG0cFmRhEcqc7BIv6fcU7iQtFh_gLSjMuD80wmduybCqTPVeu0t7SHNy3EPi-tuxMQ,7oQJcPGCrEI-YdX_hYmefdWqk3LrMCXVyaSiw3pfZLQFeiwajnahqTANv5lcjgmbeP3PK0XwszdXOA,1,1,1770509240492,1770509240492,1.0
-8FiR47eqS3ikG0cFmRhEcqc7BIv6fcU7iQtFh_gLSjMuD80wmduybCqTPVeu0t7SHNy3EPi-tuxMQ,SkXfncrKnuAjK5INuGUeGZLOlSeGRac8DT2K9OSKt5hdNBCWv61ohg4BBfE_iW_HKSHPiSji14osQQ,1,0,1770507071334,1770507071334,0.0
-8FiR47eqS3ikG0cFmRhEcqc7BIv6fcU7iQtFh_gLSjMuD80wmduybCqTPVeu0t7SHNy3EPi-tuxMQ,XkxDRUjGBS8a544b1wvkVQkShSLzXYOEsgKNadiKbzYep4QUKU-KJoIMPN-ajbb0gEpXrvwq8R5R4A,1,0,1770507071334,1770507071334,0.0
-8FiR47eqS3ikG0cFmRhEcqc7BIv6fcU7iQtFh_gLSjMuD80wmduybCqTPVeu0t7SHNy3EPi-tuxMQ,_YllSmkyBxwvYYEjrojCliY5eRMn78yVPkjyNTuZLldSrxacmWzf3ixjnX5V_yjpjjEFUpsrZ33k2g,1,1,1770414225530,1770414225530,1.0
-8FiR47eqS3ikG0cFmRhEcqc7BIv6fcU7iQtFh_gLSjMuD80wmduybCqTPVeu0t7SHNy3EPi-tuxMQ,akN4t5E-V2OjBZniUL0gu4Mz1QmxKCy-lRRh_1q2uiOo750m6qhyroWWtli539gpHpQw39AqPN3y2Q,1,0,1770507071334,1770507071334,0.0
-8FiR47eqS3ikG0cFmRhEcqc7BIv6fcU7iQtFh_gLSjMuD80wmduybCqTPVeu0t7SHNy3EPi-tuxMQ,bTHBh2ojoj0b1JxiTaGgb77sfzoSbkkWAFS6uIdHdBRfD1_Kne8bV9y0nOZdXP64YgfBXO2rsn8ZTQ,1,1,1770509240492,1770509240492,1.0
-8FiR47eqS3ikG0cFmRhEcqc7BIv6fcU7iQtFh_gLSjMuD80wmduybCqTPVeu0t7SHNy3EPi-tuxMQ,oWYo78vg8BR1n91BeSS_81p4iw_6v5XhBPJMZtXnITMyJlMqmmjxXdAT9W20w1lPG5AohE9jJdPjcw,1,1,1770414225530,1770414225530,1.0
-8FiR47eqS3ikG0cFmRhEcqc7BIv6fcU7iQtFh_gLSjMuD80wmduybCqTPVeu0t7SHNy3EPi-tuxMQ,p0CQ7RpoAc7-PIB-87s_vvg7IBYFU6-iNrSBBtLSnWDHCnsRV9GzzZ9Uy4fk14oHmLHLDM6pV3YWmg,1,1,1770509240492,1770509240492,1.0
-8FiR47eqS3ikG0cFmRhEcqc7BIv6fcU7iQtFh_gLSjMuD80wmduybCqTPVeu0t7SHNy3EPi-tuxMQ,rBBw1Cyzy4iZ-Th43fDM_KF3zmE2HDUEmnk04JIyvuaKvILOXVHJo7Hi7YJb_ii_8daGlj0D44k_4Q,1,1,1770414225530,1770414225530,1.0
-8FiR47eqS3ikG0cFmRhEcqc7BIv6fcU7iQtFh_gLSjMuD80wmduybCqTPVeu0t7SHNy3EPi-tuxMQ,sE178kubxBGKmUowJPHp90p2Aq2PkR6pLCiJowlUeIMRUub8pWz9jTOtKXcw032OTkZozq-c5wtgqg,1,0,1770507071334,1770507071334,0.0
-8FiR47eqS3ikG0cFmRhEcqc7BIv6fcU7iQtFh_gLSjMuD80wmduybCqTPVeu0t7SHNy3EPi-tuxMQ,z8I5ijFt6ldydVUIvcL_dXTc2BvHiMZ-2Ud5E6BGpTtaSqXmCxOQymbkfwta7tws-B5VDZwivGA94g,1,1,1770414225530,1770414225530,1.0
-8etzxP73XfIl-k_BI8ADiA3rQfEY_0r7wkbKstOYRyjGcpnJkG7MbG7qb_yGbZE_P59amQ0tc61dw,0NxpBXAgKgWv1LOjbZbu-v_tRXCkWDjKaNMech8x0CmNCtDyuAHYIa1W1VY2-Szr5nEhMx_GBrzEDw,1,0,1770574554690,1770574554690,0.0
-8etzxP73XfIl-k_BI8ADiA3rQfEY_0r7wkbKstOYRyjGcpnJkG7MbG7qb_yGbZE_P59amQ0tc61dw,Nk51SWqrP6YJoJhofRVc5vfH9BIYxs_RXWKO-pb1oiKX0_Ni_UAMEToL82h-5rjLkcA8wlrPbsTwvg,1,0,1770574554690,1770574554690,0.0
-8etzxP73XfIl-k_BI8ADiA3rQfEY_0r7wkbKstOYRyjGcpnJkG7MbG7qb_yGbZE_P59amQ0tc61dw,STvRubC2qGDEFuGfvJFzzwz0nCAeD57FD9OoAkmupSHWRnKYFqpzAzGhbXjtsWxARjJQTAXuBXq5pA,1,0,1770574554690,1770574554690,0.0
-8etzxP73XfIl-k_BI8ADiA3rQfEY_0r7wkbKstOYRyjGcpnJkG7MbG7qb_yGbZE_P59amQ0tc61dw,ZHJPTmP_9Nux-Bf9U3F6ud_CGv0wNp1g3S5Hgmxkfk4mAWNDPJPRoZthxXoSAaFOvJL47P61NvoVJw,1,0,1770574554690,1770574554690,0.0
-A-xydh6t162poWniOfxLdAoQ1-F-mt1RtxmfDlk61xOvZraMdIclB0aR2fA9AtgSf58HJxRRyv6pA,6PEQpzS4BSxh2QxVu0QNlO5_ZNNhgf6tSSAE85tj2hRa8MBCcC4VfqLtHJ-yqmxjnvH6rEB3pu4eLA,1,0,1770323336018,1770323336018,0.0
-A-xydh6t162poWniOfxLdAoQ1-F-mt1RtxmfDlk61xOvZraMdIclB0aR2fA9AtgSf58HJxRRyv6pA,aBMctwTV-M6Y_QFK442b7AjYzQqyx8kB1acHSxv-mHTK4BubJvFUuIeljW4CEmyGEbHxfgDi05CD2Q,1,0,1770323336018,1770323336018,0.0
-A-xydh6t162poWniOfxLdAoQ1-F-mt1RtxmfDlk61xOvZraMdIclB0aR2fA9AtgSf58HJxRRyv6pA,jdhzezvZm21bIL1OsXT--df6AI2SoCcOX_ZXpEIWG0IUO-Fu9ip82RyVuGgvwo9TwgjVUJc8-xcjeA,1,0,1770323336018,1770323336018,0.0
-A-xydh6t162poWniOfxLdAoQ1-F-mt1RtxmfDlk61xOvZraMdIclB0aR2fA9AtgSf58HJxRRyv6pA,kado9W646A81_pOwLsu4IkgC4VDrVUsXriD8CkrpefPHxavsf-F8biuqz3_GyA09fhD7nMwV5cjucg,1,0,1770323336018,1770323336018,0.0
-AYsl4kmtRSI_IluUqwBeY_gJxSebMKfE0SfPWlDqbmy4XKMkiio96AOdmVn0IxbWEqezNvufJsjtA,5FP_SSunb8CQ-c7tksZdiHd0PZuyN0ONwykaKuSim2TE9UWt4mvz45VzZjgl-3mloQDMLncgUToOwQ,2,1,1770606890948,1770608779833,0.5
-AYsl4kmtRSI_IluUqwBeY_gJxSebMKfE0SfPWlDqbmy4XKMkiio96AOdmVn0IxbWEqezNvufJsjtA,F1id1bGwpHbBVkVxY-yrT0Lhinm9gbP0jrRZ8W8Rd0Zq2xSrD9S8f6LcF07ieRp4D3jrnoR61ev6tA,1,1,1770608779833,1770608779833,1.0
