puuid,games,wins,winrate
-PWktnRK77JWrHPvvA517sudHZiOK-9TBdof0zh-Y0y71hVpjdf3owTvSRPNkF6IFYvU_ihrRELpcQ,3,2,0.6666666666666666
-QPwVZFfotpbxvED6oiBCyY73bDjq-rH1tIVzEVARfGpRyuorvLF1lZWZQ4I1SuyZkup7SDZBFLQmg,1,0,0.0
-Sp1l2ZyJlds0e2Vh1lYzHhGEPThc-bLdwI9xv13bprD95L8a9UYEmQDLz4ipLRu7I9A9M1pLUV5BA,2,0,0.0
-TAVvlj5YSe2DDPQKJFtcpxcsZxyCW02ptX4etlEKtmX3Ec5qx4J_HvDU8cgU8nBuNld87i3UlJscQ,2,0,0.0
-TIijHfAysxMMGjIv0Fbsj2cQq9YoBE4UvxZizbBK-kW0I6fjQgUijfUichi_Sn8Y1Jh5tAPJkHFoQ,1,0,0.0
-UW6i-LiWpvg7iDgHrLF4vCThE4O7qzKPycC7wFu5Soyr9wNYasvvPw7Tjf_mavXx5xOANrs9n699w,1,0,0.0
-YmwnoxPFwsFw6SDfHF1ryKVMqCfZS5nISheu0vyqstDTOtvZZ7mrMDEUkiIIM7jNGkUDP4UBhJgsA,1,0,0.0
-Z324rhgnFECuh_Ay-z2lwtKYPXIInYxBPXOGHL_AQs0Cyo58pX-YOMWz0hQI1idx1128ztyaxgDXg,1,0,0.0
-ZCkU_iBE2CoIy-1HLDU6EwzONdJyJncwkM7tyXUTKR3SNnWnjjmj1nibp5Oj0PfPIFY8nhlAIyqaA,1,1,1.0
-_Rdb5C_Qt1B-UHeuqI1jnI5P3IhTZ76kexkJG7eMZnAUN_wiyNnjMKTfx_Y8g3hl5FfGiZGnxeYbA,1,0,0.0
-_S2f_qDJr54gaQkX2ZuG9FrujgTZ-oDSZZs7iv2-Sj6wSrdtT92dNjGL1rOfxs4ZCbY9aiiJdTYDw,1,0,0.0
-ax2eKKsbUPIT6nyHJ5tCqmKVxmuXmVaYTviHqnE-o-lHvotGhnGNRlSVkaQet3mH3JgjlTcxq_bYw,1,1,1.0
-bxXmISyelJfQZjCCBnE03lnY4ZpnxR-A0KcpN75Ji03vlJkY86vkkUGDO6Te7-AxDqXiEhrPv9z5w,1,0,0.0
-c8-QdjeRXXCjrF-OgNS6uSgsM8ujRfshJVJZHHeUCyx14YgPZHUOqt8leiKyGKAPncb2FQ-O_P2iQ,1,0,0.0
-djqbBJBYzNNEfMnnvrTdQOJ_keP35XHqjAg5KwgYhoGuj1t7kFB_M41E-7DsPrpqdNj7svWoDjVCA,1,1,1.0
-dxGcD7ql4UEPBFvPGqtKTgCzExTWJ80mKwaLDYVap909-lBktlOdaca3DPpXqVDoHTsLEno47MKRA,1,1,1.0
-f21ZlnA_RGFbzxgHn_MNZv8dQ-8VArYRlF65rxywp0c-jlzlUk_8_jNQrsAOuzX97C4dIphKsulzw,1,1,1.0
-g4Tl7PXIsQWSRD0RWB20WsWQnx6WQmnUga8KGe0qyL6YKv7YsBl2tJe-J_032OP18gY1YKcjALidg,1,1,1.0
-hSuVx2B-CRW6smeQvNF3TSvzatOqkFUUeq-kf1OSsSP01G29UjDO3Hbq_JEy9htZXPPBHnoyl8FBA,1,0,0.0
-i-tb1HKMFhX4DOuehDnzQ6iuM0GnXc92aZL0W9CHhVcgYBRXEer5Tng0Vry0qr29eScUS6RQhS4Ag,1,0,0.0
-iatF0KdDJc4F-Kfa2GBxSn-m-3eKV93-USR-3uTfLY0QQExeFpe58CEpINcBU-23nKgFtjXc3JQKA,1,1,1.0
-icFB_FpE28BZRYNMzaem6Y_aGn9qFw2WxulXbcC4NK_tw44VQJpPJptae2D3vU-8Ct3kBWZUDu7OA,1,0,0.0
-kxejzhEzqjvD-Ls9_ph5emK64QpJEQfn0dY0gH_hI2RczhS84RxUuw5JkXxDYQsmtlCMR5ZvTV0BA,1,1,1.0
-pimx7rhHbuZVDYG6MkwlruMpd8olitwEFyfIwy5slEH9x-vmMkwj6E39kKlx5oRrkTJivfwvHzTXg,1,1,1.0
-q0RR4h37MlT5CVaynxL26onIuK-8n6pfCfhV1ehrVs6sjTJ62IZWoq7-OPsGuLnkaX-Mzt64lRE7w,1,0,0.0
