puuid,games,wins,winrate
-AMFSs6aeQg6NHwVFEECXB9_jQDehvPxWwSMidOvhR3CtA6o9fQvZVLqL17kMBAr40FUapzulB2f3w,1,0,0.0
-AYsl4kmtRSI_IluUqwBeY_gJxSebMKfE0SfPWlDqbmy4XKMkiio96AOdmVn0IxbWEqezNvufJsjtA,2,1,0.5
-AYy_0QeFbErP0HOCgKnUedU806oRG16hUsx9Tt6mX9bDFhMbHkDuKBalVEwxI-II-II8Zseu-OpAg,2,1,0.5
-Afd_ffzlASg1FKT0JI8OYPgOd1EET9vHujWm0VoFUw75Wj2a_Pc4cSj7tX_Y1bQHlMkZLve_5LXyg,14,8,0.5714285714285714
-Bt8aualhzVWnHlCngOAAAgahtJ6BQv377CJj_xiX7zUGXJa-d1vu-jZODg9ovoJGN5xQF7KEe3V2w,1,1,1.0
-CTkpU6gba5WbjhidjbVbafIMZi63DBqjngqaxrKhKmr76xq5Vqoh4hrKng8KbHnl3gUV0iYvkjNOg,1,0,0.0
-CglGeCYXQWFfTzXHuNp9vzrKkxgumbqgQ8eXrFmu9EK9GaGuDQxpKubmN6ME766UaCmKWV-CvQrsA,1,1,1.0
-DkxfRDuNeqwRlpbrN04i-Q1heqQGl9Zia_ao_M5uM3iVDDsuy3-BDq0N-XoUjN5TMrlFBegDkmiKw,1,1,1.0
-DxHaV-xoIY8HCuGrHSd8ZK3lIchoPVb-4p9kfNNpYlisywP-pVJTlEGLmR8TpSQlWTl7saMDXCJTg,1,1,1.0
-E7eMpDx6ittIorsU3umr8ZSQqRl9gGGH4Xppcvj3ctVkOz9xrMLqUeM0gViJFCoQONseL1M4_c0Ug,1,0,0.0
-ENiltNGSmimgGHNyKFBB4JwgbA-w8A3wtNG8wwC4VKBbCgsOtt-bPRcHlJ9PQOgOZuliDzYB0a5hw,1,0,0.0
-EVA5Z7wejNGFa-pSg285ajC-bHPQPz2pCTIT2TpB6nzNpPUntp1t0yuQ4KE_xiP5HbaFE9rNgpQLA,1,0,0.0
-F3AlFq8cG7ZT8k15fKoBMvwPVwwAl1U4FYc8CtLCiXjEmtu1bY6JgaAWIl_AhXJQzFjVAd3b0qF1A,2,1,0.5
-FKONnwd-T6cDGoFc8SmWf_fd7984sn9z7OwFItBNpT1SBO_xnNQiBG2pPorAVdN7PpofxGJgKNDQQ,1,0,0.0
-FeD1_UU15qPj3ilFnmK7Gl4sfXP6AAveyMHBW0n5BZ0e_O9Y68opc00TeX-bqPy43cOqRdkF4clow,1,1,1.0
-GLJnL_XpO5Ghpz2BCP5uPB7Q9uQmKmuTfOn7Z9FCK93TRcDg4VokttaxBM4dsdtMuvPETJjtlBP6g,1,0,0.0
-GvGP44pH-L5a4RtHAyqWIvlYX8POjVrww_ugdG2LyP3DgR813xgOwfgctQIQkHM81C08dKjybKeOg,1,1,1.0
-H-orbfHwDIz0Cczv7LcH8eA3YdPJuVw0jmXz4CxlwPlUgN39O8UHqf57wNZ20ijyCXQozQcCZkh6g,1,1,1.0
-HwL8awCz3E7MdM8U-EvbZu8iCMD9LaO36_lmOJptN-uYaIB4fK2ia20hEYp9_S1-M2ZWfeijR3qXw,1,0,0.0
-I69ev3yhaw1bGsOfrqNNki1jhC6qFAcsM8WQJk-sqMGisFYC62VmUuyDGOwfgZ3jKon1_876Sko2w,1,0,0.0
-IqdW0QC9qMHDYxdsvgWH5ssQ0U3DQD7wS5hXJYz5Dta41OQUEYiO3Lk2lef1jnlMSH-I60R5ICMrg,1,0,0.0
-JLRz5VbyOieQ62hOTaXcV86vTK3YRQfv5aac18nLsM0OUgXSJQQS6yu-k2u2Xk7kvz_mB9NFI8qSg,3,3,1.0
-JMhZZKMvC_zSp6CXONFRcMaj1nCYaAiaJqS0aYXrxutHqWrTDe6pm7S4Za1Q3piq-u-RBt71woILg,1,1,1.0
-JqcBIUWKRuV522ON9ru4OupKjY8K17TEUcnK1gDmy7Fj8NG2-4MNmkPkVUp79lmwL77FJk2QdbC1A,2,1,0.5
-KJTCMIgclOXXiLhHsI99rjWzNWDavfMjpy7MCHF1eRD8R0S3NYzOy8qKF08D2aeGE5NQ7sg3uqXzg,2,1,0.5
-KSm-Yc9ZHX-nqjCSGgCdkMJxIzCoJhlixZ6Kg_QkVYdYpMz2H4fOtJy7lSh_ueDVqkSztocjr79_A,1,0,0.0
-KX_RuwaE_nz_oP759HmxitNKJgTdk0-uaTpxoC_rxgcidHFUnRqxUJI-pD5oQPveJpcU6ykbaMGaw,2,1,0.5
