puuid,games,wins,winrate
-4fvs0zyc6mlg7giKvxuB8kYm-IgTQoSBRliNBFQEwkWzB8wFVnAAVPxA0wozqGTu2I2ga5dLPV9kA,2,0,0.0
-4geN6XyXlq0IIlXWRQaM1jDeWjnl2KpqUh8tk5R0HWCiM3j7QRf98eiUrFzOyEhC3kMjGOFK9c7FA,5,1,0.2
-56KWeZE-NLO8S9doCcLPNZab-ggO7eWTdY7YyA1VQ4ijoBNsjxrnAtvcPpwAWWyKHSnWCN9QeIJdQ,2,1,0.5
-5FnizEJQEBUjxbPsVUE0MdyxETVk_TKqJaZbMxdanoM4Z9nQA62K8r8W-Z18I_t00mjvjHyUXZjCg,3,3,1.0
-5OvI9IL8Jl-tHQslHq6O8518zo_OfWWYOoYOAnUV2hFW_bSPItmeR0JjHzCXyuWEJ27_50Fkys_Gg,1,1,1.0
-5PFthMAD8CVeThZyL-99va6SMo33nVvFc2yebq4zJJtu9fX7-2DXwX0oc_1gctVdCg-rzejnseICw,6,3,0.5
-5_AQzdpjowK6ZUG-p1CKfpW09wcGgTQZp4h4eeRvdfQgFn6ePgiN8XvhbU3aeKj2mc05e7OWmBi0A,1,1,1.0
-5cWinCXwwjHKGiAvnBwMNWH3m46M2mBw2P9w1aU6TkvJfvJE67evQidJPzuwxpjieQeHWMFzlKf-Q,6,4,0.6666666666666666
-5jf9_eJ5RwP-_4p3onlML-hYe5E_6nIrU2PHXOi5IbAVaYSpnSnVSkWvT6PdhsjC9exBPuyfIkQdA,1,1,1.0
-6-plF-i3vP52VjoRwZlgalbVOwxhll3WG5nyYF52eatOpwciCpe1yaEkJWjfl-lEzmz82fmG8uarQ,5,2,0.4
-6RtIqGQ0juluw4-EuabKuSAnGFwFC9bfLSf0uMcTjJhfdcxRPoMJD6a-4SVP3Daa4MsztDYZcLQAw,3,1,0.3333333333333333
-6XsWhoWZpXITF9NNeZZOYtzKf8JO8mqH3rzrHWO3wYf7EVGkc09HSPwWaN0ZNw02Jo1SfZctU7nCA,1,1,1.0
-6YmQ4hDoQu63qzwFi9wZOCwAhsp8IgoNjg7Upb8BIYIGQI7aATwvgbo1gVzed-4KFk4hk_V73crTQ,1,1,1.0
-6hCpY_bZh55kLyuASbiCRxal9opotrBPIAOX3QcvhNhkHQiy6zb--PnBd0sBqTDG_HfSSH2L15c4A,1,0,0.0
-6r0lmI04aN66R3sX2LuPc3NOrdlw__Sv4ZXoJgcptTEMxTgc6_oAKWZPPpr0rRPsExKnrxEEsmUkA,6,2,0.3333333333333333
